doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5266,omission,DATE,morgen,381,387,,
5273,boundary,JOB,Gründer und CEO,103,118,JOB,CEO
5274,omission,DATE,2023,155,159,,
5284,boundary,MONEY,CHF 5 pro Aktie,341,356,MONEY,CHF 5
5314,label,JOB,ETH-Ingenieurin,250,265,EDU,ETH-Ingenieurin
5389,omission,DATE,2023,55,59,,
5417,boundary,EDU,HSG-Absolventin,122,137,EDU,HSG
5421,omission,MONEY,15%,302,305,,
5437,omission,DATE,Ende Jahr,256,265,,
5437,boundary,EDU,HSG,222,225,EDU,HSG-Absolvent
5437,omission,JOB,Geschäftsführer,120,135,,
5469,label,EDU,Hotelfachschule Lausanne,399,423,ORG,Hotelfachschule Lausanne
5486,omission,DATE,12 Monaten,202,212,,
5494,omission,DATE,Ende Monat,191,201,,
5494,omission,JOB,Mitarbeiterin,327,340,,
5532,omission,DATE,morgen,408,414,,
5547,omission,JOB,Liquidator,46,56,,
5626,omission,JOB,Mitarbeiter,113,124,,
5637,omission,DATE,Ende Mai,424,432,,
5639,boundary,JOB,Inhaber und Geschäftsführer,23,50,JOB|JOB,Geschäftsführer|Inhaber
5640,omission,JOB,Mitarbeiterinnen,325,341,,
5675,omission,DATE,Ende nächster Woche,368,387,,
5693,label,JOB,dipl. Bauingenieur ETH,379,401,EDU,dipl. Bauingenieur ETH
5737,label,LOC,Europa,355,361,JOB,Verkaufsleiter für Europa
5737,omission,DATE,2023,152,156,,
5737,boundary,JOB,Verkaufsleiter,336,350,JOB,Verkaufsleiter für Europa
5780,omission,JOB,Inhaber,62,69,,
5800,boundary,LOC,Bern,89,93,LOC,Kanton Bern
5801,boundary,EDU,HSG,170,173,EDU,HSG-Absolventin
5809,boundary,EDU,HSG-Absolventen,128,143,EDU,HSG
5854,label,JOB,HSG-Absolventin,236,251,EDU,HSG-Absolventin
5867,label,ORG,ETH Zürich,102,112,EDU,ETH Zürich
5917,omission,JOB,Exportrisikoversicherung,205,229,,
5919,omission,JOB,VR-Mitglied,275,286,,
5937,omission,DATE,Ende Juni,313,322,,
5937,omission,DATE,2023,107,111,,
5945,omission,JOB,Gründer,107,114,,
5964,omission,DATE,Ende der Woche,369,383,,
5969,boundary,EDU,HSG,174,177,EDU,HSG-Absolvent
5992,boundary,JOB,Inhaber und Geschäftsführer,98,125,JOB|JOB,Inhaber|Geschäftsführer
6037,label,JOB,ETH-Absolventin,109,124,EDU,ETH-Absolventin
6079,omission,JOB,FX-Spezialisten,254,269,,
6079,omission,DATE,90 Tage,207,214,,
6105,label,JOB,HSG-Absolvent,258,271,EDU,HSG-Absolvent
6114,omission,JOB,Mitarbeiter,320,331,,
6118,omission,JOB,Assistent,340,349,,
6156,boundary,AGE,38,130,132,AGE,38 Jahre
6193,boundary,ORG,Digital Solutions GmbH,50,72,ORG,Digital Solutions GmbH i.L.
6211,boundary,AGE,58,363,365,AGE,58 Jahre
6215,boundary,EDU,HSG,133,136,EDU,HSG-Absolventin
6238,boundary,ORG,Projektgesellschaft Windpark GmbH,36,69,ORG,Windpark GmbH
6245,label,JOB,ETH-Ingenieur,231,244,EDU,ETH-Ingenieur
6253,omission,JOB,TEF-Spezialisten,275,291,,
6349,omission,JOB,Sohn,124,128,,
6371,label,EDU,Holzbau-Ingenieur FH,290,310,JOB,Holzbau-Ingenieur FH
6410,omission,DATE,Ende Monat,251,261,,
